source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
22,ex22,original,True,False,ok,"(17, 29)","(17, 29)","(17, 29)",0,v4_plus9_compiler
22,ex22,task133_color_bijection,True,False,ok,"(17, 29)","(17, 29)","(17, 29)",0,v4_plus9_compiler
22,ex22,task133_transpose,True,False,ok,"(29, 17)","(29, 17)","(29, 17)",0,v4_plus9_compiler
22,ex22,task133_mirror_lr,True,False,ok,"(17, 29)","(17, 29)","(17, 29)",0,v4_plus9_compiler
22,ex22,task133_mirror_ud,True,False,ok,"(17, 29)","(17, 29)","(17, 29)",0,v4_plus9_compiler
22,ex22,task133_zero_pad_top_left,True,False,ok,"(18, 30)","(18, 30)","(18, 30)",0,v4_plus9_compiler
22,ex22,task133_zero_pad_bottom_right,True,False,ok,"(18, 30)","(18, 30)","(18, 30)",0,v4_plus9_compiler
23,ex23,original,True,False,ok,"(23, 19)","(23, 19)","(23, 19)",0,v4_plus9_compiler
23,ex23,task133_color_bijection,True,False,ok,"(23, 19)","(23, 19)","(23, 19)",0,v4_plus9_compiler
23,ex23,task133_transpose,True,False,ok,"(19, 23)","(19, 23)","(19, 23)",0,v4_plus9_compiler
23,ex23,task133_mirror_lr,True,False,ok,"(23, 19)","(23, 19)","(23, 19)",0,v4_plus9_compiler
23,ex23,task133_mirror_ud,True,False,ok,"(23, 19)","(23, 19)","(23, 19)",0,v4_plus9_compiler
23,ex23,task133_zero_pad_top_left,True,False,ok,"(24, 20)","(24, 20)","(24, 20)",0,v4_plus9_compiler
23,ex23,task133_zero_pad_bottom_right,True,False,ok,"(24, 20)","(24, 20)","(24, 20)",0,v4_plus9_compiler
24,ex24,original,True,False,ok,"(26, 12)","(26, 12)","(26, 12)",0,v4_plus9_compiler
24,ex24,task133_color_bijection,True,False,ok,"(26, 12)","(26, 12)","(26, 12)",0,v4_plus9_compiler
24,ex24,task133_transpose,True,False,ok,"(12, 26)","(12, 26)","(12, 26)",0,v4_plus9_compiler
24,ex24,task133_mirror_lr,True,False,ok,"(26, 12)","(26, 12)","(26, 12)",0,v4_plus9_compiler
