task_id,file_size,node_count,init_count,init_bytes,init_byte_ratio,biggest_init_bytes,biggest_init_name,biggest_init_size,biggest_init_dtype,big_init_count_4k,big_init_count_64k,big_init_count_512k,has_fp16,has_lookup_ops,ops_top,ops_total,risk_score,risk_flags
task383,5005,57,11,94,0.0188,20,v4,10,float16,0,0,0,1,0,"Greater:9, And:7, Cast:6, Where:6, ReduceSum:6",57,0.5,fp16
task386,793,14,3,42,0.053,20,tgt_vec,10,float16,0,0,0,1,0,"Sub:3, Mul:3, Slice:2, Cast:2, ReduceMax:2",14,0.5,fp16
task097,880,13,2,20,0.0227,18,conv_w,9,float16,0,0,0,1,0,"Cast:4, Sub:2, Greater:2, ReduceSum:1, Slice:1",13,0.5,fp16
task251,5106,53,13,154,0.0302,16,gmt_sr,2,int64,0,0,0,1,0,"Max:9, Mul:9, Slice:7, Sub:7, MaxPool:7",53,0.5,fp16
task372,640,8,8,98,0.1531,16,top_s,2,int64,0,0,0,1,0,"Slice:3, Cast:2, Greater:1, Where:1, Pad:1",8,0.5,fp16
task236,619,10,1,2,0.0032,2,ONE,1,float16,0,0,0,1,0,"Sub:3, Slice:2, Cast:2, Abs:1, Concat:1",10,0.5,fp16
task318,704,13,1,2,0.0028,2,ONE,1,float16,0,0,0,1,0,"Sub:5, Slice:2, Cast:2, Mul:1, Sum:1",13,0.5,fp16
task322,515,7,1,2,0.0039,2,ONE,1,float16,0,0,0,1,0,"Slice:1, Cast:1, MaxPool:1, ReduceMax:1, Sub:1",7,0.5,fp16
task284,23922,125,19,16142,0.6748,7200,row_grid,900,int64,2,0,0,0,0,"And:27, Equal:13, Add:11, GreaterOrEqual:10, LessOrEqual:10",125,0.0,
task279,10314,52,10,4085,0.3961,3600,zero_ch,900,float32,0,0,0,0,0,"Where:16, MaxPool:15, Cast:12, Slice:2, Or:2",52,0.0,
task338,8884,37,9,4610,0.5189,3600,zero_ch,900,float32,0,0,0,0,0,"Where:14, MaxPool:12, Greater:2, Cast:2, ReduceSum:1",37,0.0,
task274,3619,16,11,1668,0.4609,1440,output_bank,360,float32,0,0,0,0,0,"Slice:2, ReduceSum:2, Squeeze:2, Greater:2, Cast:2",16,0.0,
task014,5317,42,17,2725,0.5125,1224,out_r,306,int32,0,0,0,0,0,"Reshape:7, Add:7, Cast:5, ArgMax:5, Where:3",42,0.0,
task079,2695,20,7,1056,0.3918,900,v4,225,float32,0,0,0,0,0,"Gather:4, ArgMax:3, Squeeze:3, Add:2, Slice:1",20,0.0,
task293,8093,52,20,2077,0.2566,900,row_grid,225,int32,0,0,0,0,0,"Cast:13, Equal:11, And:11, ReduceSum:3, ReduceMax:2",52,0.0,
task219,17812,393,34,1244,0.0698,600,k_79,150,float32,0,0,0,0,0,"Unsqueeze:68, Gather:66, Mul:47, ArgMax:27, Add:26",393,0.0,
task049,3516,29,12,792,0.2253,400,_mc_id10,100,float32,0,0,0,0,0,"Cast:5, Reshape:5, ReduceSum:3, Where:3, Greater:2",29,0.0,
task316,3963,46,19,716,0.1807,400,col_kernel,100,float32,0,0,0,0,0,"Equal:10, And:9, Where:9, ReduceSum:9, Conv:2",46,0.0,
task361,6018,60,20,1217,0.2022,400,sigma_rr,100,int32,0,0,0,0,0,"Cast:10, Mul:10, ReduceSum:5, Equal:5, Add:4",60,0.0,
task310,3379,42,17,789,0.2335,256,out_r,64,int32,0,0,0,0,0,"Reshape:7, Add:7, Cast:5, ArgMax:5, Where:3",42,0.0,
task091,4393,43,14,624,0.142,240,offsets30,30,int64,0,0,0,0,0,"Cast:5, Sub:5, Reshape:4, ArgMax:4, Gather:4",43,0.0,
task150,1299,11,6,284,0.2186,240,range_i,30,int64,0,0,0,0,0,"ReduceSum:2, Cast:2, Sub:2, Greater:1, Less:1",11,0.0,
task155,1299,11,6,284,0.2186,240,range_i,30,int64,0,0,0,0,0,"ReduceSum:2, Cast:2, Sub:2, Greater:1, Less:1",11,0.0,
task242,1736,14,7,353,0.2033,240,flip_idx,30,int64,0,0,0,0,0,"Gather:3, ReduceMax:2, Reshape:2, ArgMax:2, Add:2",14,0.0,
task384,4308,39,13,848,0.1968,240,offsets30,30,int64,0,0,0,0,0,"Cast:5, Reshape:4, ArgMax:4, Gather:4, Sub:4",39,0.0,
task209,12442,200,26,820,0.0659,120,ROW,30,int32,0,0,0,0,0,"Cast:22, Sub:21, And:18, Where:17, Equal:15",200,0.0,
task290,3323,32,14,297,0.0894,120,arange30_i32,30,int32,0,0,0,0,0,"Cast:5, Reshape:4, ReduceMax:3, Equal:3, Where:3",32,0.0,
task308,3875,59,14,492,0.127,120,ROW30,30,float32,0,0,0,0,0,"And:9, Where:7, Equal:6, Greater:5, ReduceSum:4",59,0.0,
task376,2664,41,16,390,0.1464,120,ROW_I,30,int32,0,0,0,0,0,"Equal:6, Or:6, And:6, Sub:5, Cast:3",41,0.0,
task170,50577,681,33,1176,0.0233,112,v13,28,float32,0,0,0,0,0,"Concat:135, Mul:112, Where:93, Slice:66, Add:58",681,0.0,
task012,1906,14,14,493,0.2587,100,v7,25,float32,0,0,0,0,0,"Conv:5, Mul:2, Slice:1, ReduceSum:1, Greater:1",14,0.0,
task354,2710,22,15,465,0.1716,100,ch5_zero,100,bool,0,0,0,0,0,"Mul:5, Slice:4, MaxPool:4, Greater:2, Cast:2",22,0.0,
task035,3707,38,16,404,0.109,80,row_arange,10,int64,0,0,0,0,0,"Slice:8, And:7, ReduceMax:4, ArgMax:4, Equal:4",38,0.0,
task174,61839,790,24,540,0.0087,80,v9,10,int64,0,0,0,0,0,"Gather:100, Sub:74, Mul:73, Less:64, Unsqueeze:54",790,0.0,
task359,1184,15,4,104,0.0878,80,color_ids,10,int64,0,0,0,0,0,"Cast:3, ReduceSum:3, ArgMax:2, ReduceMax:2, Equal:2",15,0.0,
task134,7061,75,26,414,0.0586,72,ar18_32,18,int32,0,0,0,0,0,"Where:8, Add:8, Slice:6, Reshape:6, Sub:6",75,0.0,
task025,13460,127,28,382,0.0284,64,pads_right_3,8,int64,0,0,0,0,0,"And:31, Equal:24, Greater:16, ReduceMax:12, Cast:10",127,0.0,
task031,3417,26,13,412,0.1206,64,col_offsets,8,int64,0,0,0,0,0,"ArgMax:4, Where:3, ReduceSum:2, Greater:2, Cast:2",26,0.0,
task039,1913,14,9,220,0.115,64,pads,8,int64,0,0,0,0,0,"ReduceSum:2, Greater:2, Cast:2, ArgMax:2, Add:2",14,0.0,
task040,4167,36,20,308,0.0739,64,pad_to_30,8,int64,0,0,0,0,0,"Slice:8, Where:5, ReduceMax:4, ReduceMin:4, Sub:4",36,0.0,
task041,2110,20,7,158,0.0749,64,pad_to_30,8,int64,0,0,0,0,0,"Cast:4, Unsqueeze:3, ArgMax:2, ReduceMax:2, And:2",20,0.0,
task045,980,14,9,200,0.2041,64,pad,8,int64,0,0,0,0,0,"Cast:6, Slice:4, And:1, ReduceMax:1, Where:1",14,0.0,
task047,3091,30,8,288,0.0932,64,pad_to_30,8,int64,0,0,0,0,0,"Cast:6, Or:5, And:5, ReduceMax:4, Tile:4",30,0.0,
task057,1616,16,6,153,0.0947,64,_v_25,8,int64,0,0,0,0,0,"ReduceMax:3, Transpose:3, Gather:3, ArgMax:2, Add:2",16,0.0,
task064,7151,68,20,692,0.0968,64,pad_left,8,int64,0,0,0,0,0,"And:10, Greater:9, Cast:8, CumSum:8, Equal:6",68,0.0,
task200,3689,36,17,248,0.0672,64,pad_to_30,8,int64,0,0,0,0,0,"Less:7, And:7, Mul:3, Div:3, Sub:3",36,0.0,
task245,2756,37,15,246,0.0893,64,pads_h,8,int64,0,0,0,0,0,"Where:7, Cast:5, ReduceMin:4, Sub:4, Add:4",37,0.0,
